Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) con nuevas acciones,P95 (ms) sin nuevas acciones,Cantidad de acciones nuevas,Porcentaje de cambio
2026-07-28T14:08:24-03:00,CFI,Production,Home,V1.12.5,21765.6,18075.2,2,-20.42
2026-07-28T14:08:24-03:00,CFI,Production,Mis portfolios,V1.12.5,17437.1,12325.7,2,-41.47
