Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-01-15T10:11:44-03:00,Avalian,Production,Agenda,V1.11.7,5266.2,30290.7,82.61
2026-01-15T10:11:44-03:00,Avalian,Production,Home,V1.11.7,11775.8,11960.3,1.54
2026-01-15T10:11:44-03:00,Avalian,Production,Mi dinero,V1.11.7,54448.3,99584.0,45.32
2026-01-15T10:11:44-03:00,Avalian,Production,Mis operaciones,V1.11.7,36480.9,40654.6,10.27
2026-01-15T10:11:44-03:00,Avalian,Production,Mis portfolios,V1.11.7,8614.35,9434.45,8.69
2026-01-15T10:11:44-03:00,Avalian,Production,Rendimiento,V1.11.7,2656.6,3044.9,12.75
