Timestamp,Ambiente,Cliente,Versión,Sección,Usuarios concurrentes,Corridas,Muestras,Acciones,Total acciones sección,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-19T18:16:45-03:00,Production,CFI,V1.13.4,Login,1,4,4,1,1,19773.1,18001.0,1124.35,
2026-08-19T18:16:45-03:00,Production,CFI,V1.13.4,Login,8,1,6,1,1,57206.25,26752.5,17148.59,-189.31
