Timestamp,Ambiente,Cliente,Versión,Sección,Usuarios concurrentes,Corridas,Muestras,Acciones,Total acciones sección,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%),Baseline 1 usuario (versión)
2026-08-31T20:56:12-03:00,Production,CFI,V1.14.0,Mis portfolios,1,4,56,14,15,18993.25,10702.5,4714.42,,V1.13.4
2026-08-31T20:56:12-03:00,Production,CFI,V1.14.0,Mis portfolios,2,4,105,15,15,31600.2,14960.0,9013.47,-66.38,V1.13.4
2026-08-31T20:56:12-03:00,Production,CFI,V1.14.0,Mis portfolios,4,4,225,15,15,78995.2,34394.0,19950.09,-315.91,V1.13.4
