Timestamp,Cliente,Ambiente,Versión,Sección,Descripción base,P95 (ms) acumulado base,Descripción comparada,P95 (ms) acumulado comparada,Porcentaje de mejora/empeora
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Agenda,Primer ingreso al menú Agenda,4600.85,Segundo ingreso al menú Agenda,4678.25,-1.68
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Home,Primer ingreso al menú Home,20473.85,Segundo ingreso al menú Home,7133.5,65.16
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Mi dinero,Primer ingreso al menú Mi dinero,245551.5,Segundo ingreso al menú Mi dinero,196707.5,19.89
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Mis operaciones,Primer ingreso al menú Mis operaciones,6611.4,Segundo ingreso al menú Mis operaciones,5872.6,11.17
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Mis operaciones,Primer uso de filtros de operaciones,31859.75,Segundo uso de filtros de operaciones,34225.25,-7.42
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Mis operaciones,Primer uso de filtros de operaciones por depositario,4721.5,Segundo uso de filtros de operaciones por depositario,4992.0,-5.73
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Mis portfolios,Primer ingreso al menú Mis portfolios,6008.0,Segundo ingreso al menú Mis portfolios,3115.25,48.15
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio Total,11279.35,Segundo ingreso al portfolio Total,1593.75,85.87
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio Estrategia,7292.75,Segundo ingreso al portfolio Estrategia,1648.5,77.4
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio Hard Dollar,2392.05,Segundo ingreso al portfolio Hard Dollar,1284.6,46.3
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio Fondo de Obra Social,2221.0,Segundo ingreso al portfolio Fondo de Obra Social,1164.9,47.55
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio FFI,3054.2,Segundo ingreso al portfolio FFI,1197.25,60.8
2026-05-20T14:29:28-03:00,CFI,Production,V1.12.4,Rendimiento,Primer ingreso al portfolio Cobertura,2037.7,Segundo ingreso al portfolio Cobertura,1392.35,31.67
