Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,Descripción,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,Primer ingreso al menú Agenda,3658.4,3794.05,3.58
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,Primer ingreso: Filtro de todos los estados y conceptos con fecha actual,74119.1,98939.35,25.09
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",548.0,663.3,17.38
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",5055.3,37344.15,86.46
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",758.4,710.15,-6.79
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Vencimiento",41728.1,54407.6,23.3
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Primer ingreso: Filtro de todos los estados, con concepto: Venta",662.6,691.0,4.11
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,Segundo ingreso al menú Agenda,3156.4,3694.75,14.57
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,Segundo ingreso: Filtro de todos los estados y conceptos con fecha actual,46492.9,85348.9,45.53
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cancelación anticipada",467.2,674.3,30.71
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de cupón",6752.9,36126.6,81.31
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Cobro de dividendo",665.8,717.55,7.21
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Vencimiento",42735.1,54015.95,20.88
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Agenda,"Segundo ingreso: Filtro de todos los estados, con concepto: Venta",641.6,665.95,3.66
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Ingreso a MPC,5303.8,5945.2,10.79
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al menú Home,11377.2,9834.9,-15.68
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al portfolio CFI desde el Home,9143.6,10383.4,11.94
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al portfolio FFI desde el Home,8895.5,9926.95,10.39
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al portfolio FPC desde el Home,7678.0,9512.3,19.28
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al portfolio Fideicomiso CFI desde el Home,8247.1,10050.45,17.94
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Primer ingreso al portfolio Fondo de Obra Social desde el Home,7745.8,9723.3,20.34
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al menú Home,5355.3,6898.9,22.37
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al portfolio CFI desde el Home,8294.2,10334.55,19.74
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al portfolio FFI desde el Home,8160.5,9869.85,17.32
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al portfolio FPC desde el Home,7388.2,8776.65,15.82
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al portfolio Fideicomiso CFI desde el Home,8202.8,10259.65,20.05
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Home,Segundo ingreso al portfolio Fondo de Obra Social desde el Home,8005.7,9355.55,14.43
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Login,Ingreso al admin de MPC y setup de portfolios,10847.4,12778.1,15.11
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Mi dinero,Primer ingreso al menú Mi dinero,87989.4,145820.1,39.66
2026-01-20T08:21:37-03:00,CFI,Production,V1.11.7,V1.10.5,Mi dinero,Segundo ingreso al menú Mi dinero,78283.2,135659.8,42.29
