Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2026-02-09T08:43:59-03:00,CFI,Production,Agenda,V1.11.7,56345.3
2026-02-09T08:43:59-03:00,CFI,Production,Home,V1.11.7,9287.25
2026-02-09T08:43:59-03:00,CFI,Production,Mi dinero,V1.11.7,106856.05
2026-02-09T08:43:59-03:00,CFI,Production,Mis depositarios,V1.11.7,1885.85
2026-02-09T08:43:59-03:00,CFI,Production,Mis operaciones,V1.11.7,12165.55
2026-02-09T08:43:59-03:00,CFI,Production,Mis portfolios,V1.11.7,6076.5
2026-02-09T08:43:59-03:00,CFI,Production,Rendimiento,V1.11.7,4815.8
