ambiente,cliente,version,version_anterior
Production,CFI,V1.10.5,-
Production,CFI,V1.11.7,V1.10.5
Production,CFI,V1.11.8,V1.11.7
Production,CFI,V1.12.3,V1.11.8
Production,CFI,V1.12.4,V1.12.3
