Timestamp,Agenda,Home,Login,Mi dinero,Mis depositarios,Mis operaciones,Mis portfolios,Rendimiento
2026-02-19T13:38:35-03:00,49488.9,10164.8,14756.0,87718.75,1761.7,7520.9,5985.35,5090.75
2026-02-20T13:30:22-03:00,46431.25,10237.6,21210.0,91343.3,1535.2,6104.8,5748.05,4719.9
2026-02-23T13:46:53-03:00,56533.9,76787.0,15355.0,215381.05,1691.0,6128.05,43632.55,4971.95
2026-02-24T13:42:31-03:00,58353.9,9884.0,16897.0,87199.05,2189.5,5456.1,5423.7,4737.35
2026-02-25T13:46:06-03:00,50451.4,10495.0,17820.0,98563.35,1569.9,6207.4,6949.65,5136.75
2026-02-26T13:40:55-03:00,46117.25,37451.8,18539.0,115472.2,1520.15,6119.45,6088.7,4810.75
2026-02-27T13:31:00-03:00,53930.1,9615.4,16250.0,105026.3,1701.85,5787.65,6257.45,4825.4
2026-03-02T13:33:57-03:00,61880.25,9389.4,13971.0,117181.4,1755.7,4922.35,5678.1,4878.2
2026-03-03T13:37:26-03:00,63334.0,10691.0,14517.0,126380.9,1673.5,5653.25,6136.3,4961.75
2026-03-04T13:34:58-03:00,72562.85,9630.4,15890.0,128744.35,1895.05,5001.3,6233.15,5036.55
2026-03-06T13:31:38-03:00,64704.2,7937.0,19826.0,121693.6,1403.15,4285.25,5455.45,4531.1
2026-03-10T13:42:38-03:00,60727.75,9252.2,18462.0,97593.95,1852.0,4783.75,6069.15,4845.2
2026-03-11T13:38:04-03:00,51011.6,8638.2,19364.0,90804.85,1908.35,4787.4,6243.65,5014.45
2026-03-12T13:46:30-03:00,67949.9,15367.4,15918.0,147827.1,1846.05,4297.2,9238.35,4917.9
2026-03-13T13:30:30-03:00,51243.0,10959.8,16668.0,94314.05,1987.05,3456.85,6421.55,4522.95
2026-03-16T13:43:40-03:00,52064.45,10579.4,14668.0,114492.5,1811.2,4204.45,6277.6,4933.15
2026-03-17T13:46:03-03:00,51694.35,11982.0,13926.0,114868.1,1649.95,5046.05,7001.75,4861.85
2026-03-18T13:44:02-03:00,56862.55,9564.4,17106.0,113751.35,1936.4,4777.45,6604.7,4309.15
2026-03-19T13:38:20-03:00,50993.4,9416.2,15881.0,99686.3,1836.45,4947.45,6032.65,4408.15
2026-03-20T13:34:31-03:00,59387.15,8694.4,12767.0,111040.25,1551.1,4427.7,6113.2,4485.95
2026-03-23T13:40:16-03:00,51803.85,10226.0,18219.0,130515.95,1774.7,4305.0,6402.15,4208.3
2026-03-24T13:42:32-03:00,53729.65,14125.0,16976.0,99542.8,1612.8,5795.75,5091.05,3865.65
2026-03-25T13:48:59-03:00,64739.1,19211.0,16491.0,126905.35,1760.35,4241.05,6136.65,4658.65
2026-03-26T13:47:21-03:00,59903.75,11169.6,16052.0,101830.75,1957.35,4810.85,6015.9,4757.8
2026-03-27T13:39:43-03:00,70899.55,27249.8,15256.0,114108.4,1542.25,3867.65,5493.0,4520.9
2026-03-30T13:56:30-03:00,75692.6,81884.8,16593.0,139132.55,1679.55,5936.95,45507.1,3949.75
2026-03-31T13:45:33-03:00,70282.75,12924.6,13259.0,130932.35,1619.8,5737.45,7216.25,4724.5
2026-04-01T13:42:45-03:00,68291.45,11527.4,14858.0,141372.15,1574.7,6853.15,5573.15,3984.75
2026-04-02T13:43:51-03:00,78135.95,14116.4,17801.0,143137.25,1561.0,7628.6,5707.3,4368.55
