Timestamp,Ambiente,Cliente,Versión,Sección,Usuarios concurrentes,Corridas,Muestras,Acciones,Total acciones sección,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-19T18:16:45-03:00,Production,CFI,V1.13.4,Agenda,1,4,248,62,63,55836.85,1042.5,17780.56,
2026-08-19T18:16:45-03:00,Production,CFI,V1.13.4,Agenda,8,1,11,3,63,252916.0,42218.0,100332.37,-352.96
