Timestamp,P95_Total,Cliente,Ambiente,Version
2025-09-19T16:58:57,31918.899999999998,Avalian,Production,V1.10.1
2025-09-19T17:19:49,31933.3,Avalian,Production,V1.10.1
2025-09-22T12:26:22,30333.25,Avalian,Production,V1.10.1
2025-09-22T18:33:36,100426.4,CFI,Testing,V1.10.2
2025-09-22T19:14:36,100418.8,CFI,Testing,V1.10.2
2025-09-23T12:25:10,29473.3,Avalian,Production,V1.10.1
2025-09-23T14:36:44,18029.2,CFI,Testing,V1.10.2
2025-09-23T14:38:35,39973.7,CFI,Testing,V1.10.2
2025-09-23T14:38:44,53481.69999999999,CFI,Testing,V1.10.2
2025-09-24T12:25:11,26306.4,Avalian,Production,V1.10.1
2025-09-25T12:25:38,27555.25,Avalian,Production,V1.10.1
2025-09-26T12:26:08,28056.15,Avalian,Production,V1.10.1
2025-09-29T12:25:19,26169.5,Avalian,Production,V1.10.1
2025-09-30T12:23:59,26875.5,Avalian,Production,V1.10.1
2025-10-02T12:24:27,28349.15,Avalian,Production,V1.10.1
2025-10-03T12:23:10,25553.45,Avalian,Production,V1.10.1
2025-10-06T12:24:26,26270.2,Avalian,Production,V1.10.1
2025-10-07T12:25:42,26947.199999999997,Avalian,Production,V1.10.1
2025-10-08T12:25:46,28114.95,Avalian,Production,V1.10.5
2025-10-09T12:39:33,25614.75,Avalian,Production,V1.10.5
2025-10-10T12:24:05,26419.4,Avalian,Production,V1.10.5
2025-10-13T12:27:56,33015.649999999994,Avalian,Production,V1.10.5
2025-10-14T12:25:26,25271.9,Avalian,Production,V1.10.5
2025-10-15T12:25:13,25887.899999999998,Avalian,Production,V1.10.5
2025-10-17T12:25:17,28265.09999999999,Avalian,Production,V1.10.5
2025-10-20T12:25:15,27530.2,Avalian,Production,V1.10.5
2025-10-21T14:59:23,28656.49999999999,Avalian,Production,V1.10.5
