Timestamp,P95_Total,Cliente,Ambiente,Version
2025-09-19 16:58:57-03:00,31918.899999999994,Avalian,Production,V1.10.1
2025-09-19 17:19:49-03:00,31933.3,Avalian,Production,V1.10.1
2025-09-22 12:26:22-03:00,30333.249999999996,Avalian,Production,V1.10.1
2025-09-22 18:33:36-03:00,100426.4,CFI,Testing,V1.10.2
2025-09-22 19:14:36-03:00,100418.8,CFI,Testing,V1.10.2
2025-09-23 12:25:10-03:00,29473.299999999996,Avalian,Production,V1.10.1
2025-09-23 14:36:44-03:00,18029.2,CFI,Testing,V1.10.2
2025-09-23 14:38:35-03:00,39973.7,CFI,Testing,V1.10.2
2025-09-23 14:38:44-03:00,53481.69999999999,CFI,Testing,V1.10.2
2025-09-24 12:25:11-03:00,26306.399999999998,Avalian,Production,V1.10.1
2025-09-25 12:25:38-03:00,27555.25,Avalian,Production,V1.10.1
2025-09-26 12:26:08-03:00,28056.149999999998,Avalian,Production,V1.10.1
2025-09-29 12:25:19-03:00,26169.5,Avalian,Production,V1.10.1
2025-09-30 12:23:59-03:00,26875.5,Avalian,Production,V1.10.1
2025-10-02 12:24:27-03:00,28349.149999999998,Avalian,Production,V1.10.1
2025-10-03 12:23:10-03:00,25553.449999999997,Avalian,Production,V1.10.1
2025-10-06 12:24:26-03:00,26270.199999999997,Avalian,Production,V1.10.1
2025-10-07 12:25:42-03:00,26947.199999999993,Avalian,Production,V1.10.1
2025-10-08 12:25:46-03:00,28114.949999999997,Avalian,Production,V1.10.5
2025-10-09 12:39:33-03:00,25614.75,Avalian,Production,V1.10.5
2025-10-10 12:24:05-03:00,26419.399999999998,Avalian,Production,V1.10.5
2025-10-13 12:27:56-03:00,33015.649999999994,Avalian,Production,V1.10.5
2025-10-14 12:25:26-03:00,25271.899999999998,Avalian,Production,V1.10.5
2025-10-15 12:25:13-03:00,25887.899999999994,Avalian,Production,V1.10.5
2025-10-17 12:25:17-03:00,28265.09999999999,Avalian,Production,V1.10.5
2025-10-20 12:25:15-03:00,27530.199999999997,Avalian,Production,V1.10.5
2025-10-21 14:59:23-03:00,28656.49999999999,Avalian,Production,V1.10.5
