Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) con nuevas acciones,P95 (ms) sin nuevas acciones,Cantidad de acciones nuevas,Porcentaje de cambio
2026-09-11T13:36:58-03:00,CFI,Production,Home,V1.14.0,26904.4,26968.5,2,0.24
2026-09-11T13:36:58-03:00,CFI,Production,Mis portfolios,V1.14.0,20820.35,20882.35,2,0.3
