Timestamp,Cliente,Ambiente,Versión,Sección,Descripción base,P95 (ms) acumulado base,Descripción comparada,P95 (ms) acumulado comparada,Porcentaje de mejora/empeora
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Agenda,Primer ingreso al menú Agenda,4002.4,Segundo ingreso al menú Agenda,3746.0,6.41
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Agenda,Primer uso de filtros por estados y conceptos,67022.55,Segundo uso de filtros por estados y conceptos,58651.6,12.49
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Home,Primer ingreso al menú Home,58581.0,Segundo ingreso al menú Home,11616.6,80.17
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Mi dinero,Primer ingreso al menú Mi dinero,224329.0,Segundo ingreso al menú Mi dinero,144766.8,35.47
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Mis operaciones,Primer ingreso al menú Mis operaciones,6252.9,Segundo ingreso al menú Mis operaciones,5766.5,7.78
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Mis operaciones,Primer uso de filtros de operaciones,61592.05,Segundo uso de filtros de operaciones,61166.75,0.69
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Mis operaciones,Primer uso de filtros de operaciones por depositario,3990.05,Segundo uso de filtros de operaciones por depositario,4128.65,-3.47
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Mis portfolios,Primer ingreso al menú Mis portfolios,7154.6,Segundo ingreso al menú Mis portfolios,3591.0,49.81
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Total,8370.9,Segundo ingreso al portfolio Total,1605.3,80.82
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Cobertura,2043.25,Segundo ingreso al portfolio Cobertura,1343.5,34.25
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Estrategia,6003.75,Segundo ingreso al portfolio Estrategia,1381.75,76.99
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Fideicomiso CFI,2804.6,Segundo ingreso al portfolio Fideicomiso CFI,1554.4,44.58
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio FFI,2676.0,Segundo ingreso al portfolio FFI,1365.5,48.97
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Fondo de Obra Social,1991.8,Segundo ingreso al portfolio Fondo de Obra Social,1433.7,28.02
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio Hard Dollar,2446.25,Segundo ingreso al portfolio Hard Dollar,1253.5,48.76
2026-04-17T13:44:01-03:00,CFI,Production,V1.11.8,Rendimiento,Primer ingreso al portfolio FPC,2077.6,Segundo ingreso al portfolio FPC,1256.4,39.53
