Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,Descripción,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Agenda,Primer ingreso al menú Agenda,4624.45,3902.8,-18.49
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Agenda,Segundo ingreso al menú Agenda,4510.3,3590.1,-25.63
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Ingreso a MPC,5904.7,5572.1,-5.97
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Primer ingreso al menú Home,75349.7,61063.4,-23.4
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Primer ingreso al portfolio Cobertura desde el Home,9081.35,11705.3,22.42
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Primer ingreso al portfolio Estrategia desde el Home,14816.8,39493.9,62.48
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Primer ingreso al portfolio Hard Dollar desde el Home,11720.6,28527.1,58.91
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Segundo ingreso al menú Home,6410.35,12045.4,46.78
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Segundo ingreso al portfolio Cobertura desde el Home,8521.4,20481.3,58.39
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Segundo ingreso al portfolio Estrategia desde el Home,12807.0,15520.8,17.48
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Home,Segundo ingreso al portfolio Hard Dollar desde el Home,9371.05,14942.5,37.29
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Login,Ingreso al admin de MPC y setup de portfolios,23188.15,26982.4,14.06
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mi dinero,Primer ingreso al menú Mi dinero,219555.55,214567.4,-2.32
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mi dinero,Segundo ingreso al menú Mi dinero,146127.7,102012.7,-43.24
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Agrupar por especie todas las cuentas disponibles,1072.8,1165.05,7.92
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta ACA Valores (ARS),3420.4,3717.65,8.0
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta ACA Valores (MEP),3502.45,3622.5,3.31
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta BBVA (FCI ARS),3231.85,3335.55,3.11
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Banco Macro (FCI ARS),3314.05,3413.65,2.92
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Banco Nación (BNA),3296.35,3221.6,-2.32
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Bind Inversiones (ARS),3114.6,3554.5,12.38
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Bind Inversiones (USD CCL),3311.25,3383.55,2.14
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Consultatio (ARS),3439.7,3540.35,2.84
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Consultatio (USD CABLE),3555.75,3552.6,-0.09
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Consultatio (USD MEP),3254.25,3492.15,6.81
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Facimex (ARS),2959.95,3323.45,10.94
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Facimex (CCL),3154.2,3438.75,8.27
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Facimex (MEP),3108.35,3375.45,7.91
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Macro Securities (ARS),3109.75,3706.2,16.09
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar la cuenta Macro Securities (USD CCL),3007.3,3644.5,17.48
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario ACA Valores,3176.55,3333.55,4.71
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario BBVA,3076.65,3390.35,9.25
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Macro,3083.2,3295.1,6.43
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Nación,3139.65,3559.1,11.79
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Bind Inversiones,3297.2,3272.9,-0.74
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Consultatio,3080.0,3381.4,8.91
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Facimex,3215.55,3605.45,10.81
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas del depositario Macro Securities,3206.15,3335.1,3.87
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Deseleccionar todas las cuentas disponibles,3171.2,3558.4,10.88
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Primer ingreso al menú Mis depositarios,4681.5,4171.95,-12.21
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Seleccionar la cuenta ACA Valores (ARS),3659.45,4131.7,11.43
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Seleccionar la cuenta ACA Valores (MEP),3419.95,3456.85,1.07
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Seleccionar la cuenta BBVA (FCI ARS),3362.45,4093.6,17.86
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Seleccionar la cuenta Banco Macro (FCI ARS),3601.6,3696.85,2.58
2026-06-17T13:44:47-03:00,Avalian,Production,V1.12.4,V1.11.8,Mis depositarios,Seleccionar la cuenta Banco Nación (BNA),3848.55,4006.85,3.95
