Timestamp,Cliente,Ambiente,Sección,Descripción,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-07-17T12:54:52-03:00,Avalian,Production,Agenda,Primer ingreso al menú Agenda,V1.12.4,4583.2,3898.0,-17.58
2026-07-17T12:54:52-03:00,Avalian,Production,Agenda,Segundo ingreso al menú Agenda,V1.12.4,4494.6,3579.5,-25.57
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Ingreso a MPC,V1.12.4,5668.0,5735.5,1.18
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Primer ingreso al menú Home,V1.12.4,96476.6,74478.0,-29.54
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Primer ingreso al portfolio Cobertura desde el Home,V1.12.4,8957.0,15550.0,42.4
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Primer ingreso al portfolio Estrategia desde el Home,V1.12.4,15279.4,38674.5,60.49
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Primer ingreso al portfolio Hard Dollar desde el Home,V1.12.4,11258.8,27596.5,59.2
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Segundo ingreso al menú Home,V1.12.4,5567.2,11831.0,52.94
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Cobertura desde el Home,V1.12.4,8548.8,19747.5,56.71
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Estrategia desde el Home,V1.12.4,13619.4,15430.0,11.73
2026-07-17T12:54:52-03:00,Avalian,Production,Home,Segundo ingreso al portfolio Hard Dollar desde el Home,V1.12.4,9177.2,14903.5,38.42
2026-07-17T12:54:52-03:00,Avalian,Production,Mi dinero,Primer ingreso al menú Mi dinero,V1.12.4,212606.8,204723.0,-3.85
2026-07-17T12:54:52-03:00,Avalian,Production,Mi dinero,Segundo ingreso al menú Mi dinero,V1.12.4,146337.4,101070.5,-44.79
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Agrupar por especie todas las cuentas disponibles,V1.12.4,1085.4,1165.05,6.84
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta ACA Valores (ARS),V1.12.4,3733.8,3717.65,-0.43
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta ACA Valores (MEP),V1.12.4,3575.2,3622.5,1.31
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta BBVA (FCI ARS),V1.12.4,3323.6,3335.55,0.36
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Banco Macro (FCI ARS),V1.12.4,3337.6,3413.65,2.23
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Banco Nación (BNA),V1.12.4,3222.0,3221.6,-0.01
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Bind Inversiones (ARS),V1.12.4,3207.8,3554.5,9.75
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Bind Inversiones (USD CCL),V1.12.4,3442.8,3383.55,-1.75
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Consultatio (ARS),V1.12.4,3539.0,3540.35,0.04
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Consultatio (USD CABLE),V1.12.4,3558.0,3552.6,-0.15
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Consultatio (USD MEP),V1.12.4,3301.8,3492.15,5.45
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Facimex (ARS),V1.12.4,3274.8,3323.45,1.46
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Facimex (CCL),V1.12.4,3175.0,3438.75,7.67
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Facimex (MEP),V1.12.4,3294.0,3375.45,2.41
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Macro Securities (ARS),V1.12.4,3037.4,3706.2,18.05
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar la cuenta Macro Securities (USD CCL),V1.12.4,3082.0,3644.5,15.43
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario ACA Valores,V1.12.4,3238.8,3333.55,2.84
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario BBVA,V1.12.4,3167.2,3390.35,6.58
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Macro,V1.12.4,3106.6,3295.1,5.72
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Banco Nación,V1.12.4,3177.6,3559.1,10.72
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Bind Inversiones,V1.12.4,3416.4,3272.9,-4.38
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Consultatio,V1.12.4,3228.8,3381.4,4.51
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Facimex,V1.12.4,3162.4,3605.45,12.29
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas del depositario Macro Securities,V1.12.4,3211.2,3335.1,3.72
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Deseleccionar todas las cuentas disponibles,V1.12.4,3269.8,3558.4,8.11
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Primer ingreso al menú Mis depositarios,V1.12.4,4742.8,4171.95,-13.68
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Seleccionar la cuenta ACA Valores (ARS),V1.12.4,3884.0,4131.7,6.0
2026-07-17T12:54:52-03:00,Avalian,Production,Mis depositarios,Seleccionar la cuenta ACA Valores (MEP),V1.12.4,3472.0,3456.85,-0.44
