Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual,P95 (ms) histórico,Porcentaje de mejora/empeora
2026-05-25T13:18:10-03:00,Avalian,Production,Agenda,V1.12.4,8296.35,12215.8,32.09
2026-05-25T13:18:10-03:00,Avalian,Production,Home,V1.12.4,13749.2,25507.9,46.1
2026-05-25T13:18:10-03:00,Avalian,Production,Mi dinero,V1.12.4,132159.75,136863.75,3.44
2026-05-25T13:18:10-03:00,Avalian,Production,Mis depositarios,V1.12.4,3370.3,3676.1,8.32
2026-05-25T13:18:10-03:00,Avalian,Production,Mis operaciones,V1.12.4,29002.25,52342.95,44.59
2026-05-25T13:18:10-03:00,Avalian,Production,Mis portfolios,V1.12.4,8977.05,13328.3,32.65
2026-05-25T13:18:10-03:00,Avalian,Production,Rendimiento,V1.12.4,3107.25,2877.0,-8.0
2026-05-25T13:18:10-03:00,Avalian,Production,Resultado,V1.12.4,36605.2,42610.0,14.09
