Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Consolidado CFI desde Mis portfolios,2,3,6,62233.5,44196.5,12364.73,-152.12
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Consolidado CFI desde Mis portfolios,4,1,4,67050.9,62770.5,12219.37,-171.63
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FFI desde Mis portfolios,1,4,4,12339.5,11360.0,584.25,
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FFI desde Mis portfolios,2,3,6,48142.5,33110.0,8844.47,-290.15
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FFI desde Mis portfolios,4,2,5,63490.4,46788.0,13575.58,-414.53
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FPC desde Mis portfolios,1,4,4,8992.8,8329.0,742.23,
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FPC desde Mis portfolios,2,3,6,27656.25,20938.0,3523.07,-207.54
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio FPC desde Mis portfolios,4,1,4,64091.2,47331.5,16091.05,-612.69
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Garantia CFI desde Mis portfolios,1,4,4,12424.0,11154.5,921.7,
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Garantia CFI desde Mis portfolios,2,3,6,51313.75,34786.0,9439.83,-313.02
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Garantia CFI desde Mis portfolios,4,1,4,41958.45,31576.5,7765.37,-237.72
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Obra Social desde Mis portfolios,1,4,4,9509.85,8711.5,468.27,
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Obra Social desde Mis portfolios,2,3,6,35385.0,25074.5,6325.52,-272.09
2026-08-27T21:41:44-03:00,Production,CFI,V1.13.4,Mis portfolios,Segundo ingreso al portfolio Fondo de Obra Social desde Mis portfolios,4,1,4,37818.1,27905.5,7728.27,-297.67
