Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Agenda,12169.5,10101.0,-20.48
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Home,33230.35,22073.25,-50.55
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Mi dinero,224849.0,85764.75,-162.17
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Mis operaciones,61664.5,48095.5,-28.21
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Mis portfolios,24997.7,11987.35,-108.53
2026-03-05T12:39:00-03:00,Avalian,Production,V1.11.8,V1.11.7,Rendimiento,2970.0,2977.9,0.27
