Timestamp,Ambiente,Cliente,Versión,Sección,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-07T17:13:44-03:00,Production,Avalian,V1.13.4,Home,1,5,45,15420.4,8396.0,8256.13,
2026-08-07T17:13:44-03:00,Production,Avalian,V1.13.4,Home,2,2,36,18576.5,11523.5,3670.47,-20.47
