Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) nuevas descripciones,P95 (ms) descripciones históricas,Cantidad de descripciones nuevas,Porcentaje de mejora/empeora
2025-10-24T12:10:14-03:00,Avalian,Production,Home,V1.10.5,10533.0,13219.5,6,20.32
2025-10-24T12:10:14-03:00,Avalian,Production,Mis portfolios,V1.10.5,8157.0,10673.7,6,23.58
2025-10-24T12:10:14-03:00,Avalian,Production,Rendimiento,V1.10.5,2221.0,2736.95,34,18.85
