Timestamp,Cliente,Ambiente,Sección,Versión,P95 (ms) actual
2025-11-14T12:33:42-03:00,Avalian,Production,Agenda,V1.10.7,30077.05
2025-11-14T12:33:42-03:00,Avalian,Production,Home,V1.10.7,10212.5
2025-11-14T12:33:42-03:00,Avalian,Production,Login,V1.10.7,15967.6
2025-11-14T12:33:42-03:00,Avalian,Production,Mi dinero,V1.10.7,75869.85
2025-11-14T12:33:42-03:00,Avalian,Production,Mis operaciones,V1.10.7,35299.3
2025-11-14T12:33:42-03:00,Avalian,Production,Mis portfolios,V1.10.7,6800.3
2025-11-14T12:33:42-03:00,Avalian,Production,Rendimiento,V1.10.7,2917.75
