Timestamp,Cliente,Ambiente,Versión,Sección,Descripción base,P95 (ms) acumulado base,Descripción comparada,P95 (ms) acumulado comparada,Porcentaje de mejora/empeora
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Agenda,Primer ingreso al menú Agenda,3821.5,Segundo ingreso al menú Agenda,3697.5,3.24
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Agenda,Primer uso de filtros por estados y conceptos,31423.75,Segundo uso de filtros por estados y conceptos,28472.75,9.39
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Home,Primer ingreso al menú Home,12272.25,Segundo ingreso al menú Home,4371.6,64.38
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Mi dinero,Primer ingreso al menú Mi dinero,106256.1,Segundo ingreso al menú Mi dinero,91344.15,14.03
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Mis operaciones,Primer ingreso al menú Mis operaciones,5995.1,Segundo ingreso al menú Mis operaciones,5609.4,6.43
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Mis operaciones,Primer uso de filtros de operaciones,45385.4,Segundo uso de filtros de operaciones,46183.6,-1.76
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Mis operaciones,Primer uso de filtros de operaciones por depositario,32127.15,Segundo uso de filtros de operaciones por depositario,30240.65,5.87
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Mis portfolios,Primer ingreso al menú Mis portfolios,5623.9,Segundo ingreso al menú Mis portfolios,2642.7,53.01
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primer ingreso al portfolio Total,110991.85,Segundo ingreso al portfolio Total,117172.9,-5.57
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primer ingreso al portfolio Cobertura,5137.4,Segundo ingreso al portfolio Cobertura,1654.2,67.8
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primer ingreso al portfolio Estrategia,62360.2,Segundo ingreso al portfolio Estrategia,1786.4,97.14
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primer ingreso al portfolio Hard Dollar,8759.4,Segundo ingreso al portfolio Hard Dollar,1824.0,79.18
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método MWR,2922.4,Segunda recorrida de cartas de rendimiento portfolio Total método MWR,2854.6,2.32
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Total método TWR,2751.8,Segunda recorrida de cartas de rendimiento portfolio Total método TWR,2883.3,-4.78
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Estrategia método MWR,2444.4,Segunda recorrida de cartas de rendimiento portfolio Estrategia método MWR,2443.5,0.04
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Hard Dollar método MWR,2094.5,Segunda recorrida de cartas de rendimiento portfolio Hard Dollar método MWR,2155.5,-2.91
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Cobertura método MWR,2122.5,Segunda recorrida de cartas de rendimiento portfolio Cobertura método MWR,2072.6,2.35
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Estrategia método TWR,2416.8,Segunda recorrida de cartas de rendimiento portfolio Estrategia método TWR,2447.8,-1.28
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Hard Dollar método TWR,2064.05,Segunda recorrida de cartas de rendimiento portfolio Hard Dollar método TWR,2101.05,-1.79
2026-01-08T12:25:00-03:00,Avalian,Production,V1.10.7,Rendimiento,Primera recorrida de cartas de rendimiento portfolio Cobertura método TWR,2118.4,Segunda recorrida de cartas de rendimiento portfolio Cobertura método TWR,2068.5,2.36
