Timestamp,Cliente,Ambiente,Versión actual,Versión comparada,Sección,P95 (ms) de la versión actual,P95 (ms) de la versión comparada,Porcentaje de mejora/empeora
2025-12-04T12:35:32-03:00,Avalian,Production,V1.10.7,V1.10.5,Agenda,29419.45,31922.75,7.84
2025-12-04T12:35:32-03:00,Avalian,Production,V1.10.7,V1.10.5,Home,11581.7,11252.0,-2.93
2025-12-04T12:35:32-03:00,Avalian,Production,V1.10.7,V1.10.5,Mis operaciones,39243.5,27666.65,-41.84
2025-12-04T12:35:32-03:00,Avalian,Production,V1.10.7,V1.10.5,Mis portfolios,9341.0,9267.7,-0.79
2025-12-04T12:35:32-03:00,Avalian,Production,V1.10.7,V1.10.5,Rendimiento,3157.25,3139.9,-0.55
