Timestamp,Ambiente,Cliente,Versión,Sección,Descripción,Usuarios concurrentes,Corridas,Muestras,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Banco Nación (Banco Nación FPC),1,4,4,2560.6,2136.5,328.58,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Banco Nación (Banco Nación FPC),2,3,6,8459.0,3520.5,2566.56,-230.35
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (CFI),1,4,4,2032.7,1747.0,192.74,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (CFI),2,3,6,6405.75,2330.5,1821.4,-215.14
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (FFI),1,4,4,3024.7,2766.0,217.52,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (FFI),2,3,6,6127.5,4372.5,1185.88,-102.58
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),1,4,4,3043.6,2612.0,281.33,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta ICBC (ICBC - FONDO DE GARANTÍA),2,3,6,18126.0,6043.0,6370.83,-495.54
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),1,4,4,3067.7,2276.5,420.62,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Nación Bursátil (NB (Fondo Obra Social)),2,3,6,8454.5,4408.5,2532.11,-175.6
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (CFI ),1,4,4,1651.1,1429.5,172.18,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (CFI ),2,3,6,6450.5,1650.0,2276.0,-290.68
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (FFI),1,4,4,1411.65,1104.0,200.67,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,Seleccionar la cuenta Pellegrini (FFI),2,3,6,3388.75,1515.5,855.51,-140.06
