Timestamp,Ambiente,Cliente,Versión,Sección,Usuarios concurrentes,Corridas,Muestras,Acciones,Total acciones sección,P95 (ms),P50 (ms),Stdev (ms),Delta vs 1 usuario (%)
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,1,4,112,28,29,3012.35,1629.5,734.86,
2026-08-27T16:08:45-03:00,Production,CFI,V1.13.4,Mis depositarios,2,3,174,29,29,6949.8,2440.0,2457.01,-130.71
