ambiente,cliente,version,version_anterior
Production,Avalian,V1.10.1,-
Production,Avalian,V1.10.5,V1.10.1
Production,Avalian,V1.10.7,V1.10.5
Production,Avalian,V1.11.7,V1.10.7
Production,Avalian,V1.11.8,V1.11.7
Production,Avalian,V1.12.4,V1.11.8
Production,Avalian,V1.13.4,V1.12.4
